full_country,count
Indonesia,3
Venezuela,1
Cameroon,1
Sweden,8
Montenegro,1
Uganda,1
Dominican Republic,2
Ireland,6
Singapore,2
Uzbekistan,3
Portugal,1
Finland,3
Colombia,8
Saudi Arabia,1
Grenada,1
Ukraine,19
Cuba,15
Latvia,2
North Korea,6
Algeria,1
France,35
Slovakia,4
Malaysia,2
Kenya,12
Hong Kong,1
Kuwait,1
United States,104
Cyprus,1
Turkey,4
Tajikistan,1
China,93
Armenia,2
Belarus,11
Qatar,2
Netherlands,21
Gabon,1
Australia,35
Serbia,4
Bahrain,1
Spain,18
Georgia,7
Belgium,3
Great Britain,68
Thailand,4
Italy,28
Germany,45
Canada,18
South Korea,30
Argentina,4
Slovenia,4
Azerbaijan,10
Greece,2
Egypt,4
Afghanistan,1
Bahamas,1
Puerto Rico,2
India,6
Iran,13
Estonia,2
South Africa,6
Kazakhstan,10
Japan,38
Denmark,10
Jamaica,12
Trinidad and Tobago,4
Mongolia,5
Switzerland,4
New Zealand,14
Hungary,18
Russia,72
Norway,4
Botswana,1
Romania,9
Brazil,17
Guatemala,1
Ethiopia,7
Lithuania,5
Bulgaria,2
Croatia,6
Tunisia,3
Morocco,1
Mexico,7
Poland,10
Czechia,11
